Country Name,Country Code,broadband_subscriptions,capital_formation,credit_to_private_sector,fdi_inflows,gdp_growth,high_tech_exports,ict_imports,inflation_rate,internet_usage_rate,labor_productivity,market_capitalisation,rd_expenditure,real_interest_rate,secure_servers_density,stock_market_liquidity,tertiary_enrollment,Income Group
Afghanistan,AFG,0.0800873028793967,15.2435765521019,3.09659808966059,0.144466946606861,2.26694373649188,0.0,2.07,-6.60118564073725,16.09499931,10810.3819482136,19.3294215119713,0.22201,12.1411782956513,41.0575140034026,0.307964508763167,10.85435962677,Low income
Albania,ALB,24.8815713356962,24.3552461083467,34.126089863133,6.32349466068578,4.04592845095348,1.52935344981595,0.21,2.21587375089991,85.86389923,45524.5454675641,46.000353126090864,0.19997,3.996116578401,1512.74983930188,23.542281764170973,84.1496200561523,Upper middle income
Algeria,DZA,13.3173088877016,35.1978539491642,19.0341413218985,0.455370730483787,3.69999999907979,0.960396672710236,4.87,4.04611455313434,77.4178009,61189.0573634739,0.190907251680752,0.44395,4.47402521317597,119.343855301674,23.542281764170973,54.4283410150344,Upper middle income
American Samoa,ASM,33.2862552985842,22.253515787122474,80.29858548433496,-10.248023149210306,1.73501577287065,18.72486896696065,7.4332355864194035,2.377927165352188,90.14943131255693,114650.04725444871,88.88169552269352,1.6938194827586206,2.785426538579276,513.204319469689,42.52544933085052,70.22741877743557,High income
Andorra,AND,52.3554394786302,22.253515787122474,80.29858548433496,6.64266743694098,3.37182032638998,21.4346319155008,5.89,2.377927165352188,94.39759827,114650.04725444871,88.88169552269352,0.15818,2.785426538579276,17623.0808660206,42.52544933085052,67.6767676767677,High income
Angola,AGO,0.362845240712436,10.3941219963068,7.31668036665318,-1.0986881170909,4.42390664406875,16.6897206933082,3.3,28.2404948915772,40.70479965,24845.8137735601,29.275103729502298,0.03229,-4.17755819878416,48.5141563014729,7.1222559820276485,9.9549065722902,Lower middle income
Antigua and Barbuda,ATG,10.6818181818182,22.253515787122474,38.5522100446786,11.1314252318887,3.65638765956977,0.0,3.58,6.19886698842115,72.73040009,114650.04725444871,88.88169552269352,1.6938194827586206,0.324776917260695,970.438936996118,42.52544933085052,70.22741877743557,High income
Argentina,ARG,26.0976420359532,15.9035666572482,15.1176778381075,1.82409522925391,-1.34293072157739,3.85019697474113,7.95,219.883929014578,89.66715228,59453.738230398,8.35147499068672,0.60111,-47.4304580263773,5453.43428098629,0.178401593424374,107.822574129434,Upper middle income
Armenia,ARM,20.3090953111129,21.3550447611018,64.3799433173924,0.506878336560983,5.90000000046228,23.6403270515259,9.05,0.269511978259125,81.33930206,47368.5514514897,18.6746236710281,0.2861,11.5859080483725,1735.28926982034,0.008167896386994,52.7748065090859,Upper middle income
Aruba,ABW,17.4862221892338,22.253515787122474,56.711929646071,2.42051208397071,6.81077669324542,6.86800836378335,4.23,4.25746204335427,97.17,114650.04725444871,88.88169552269352,1.6938194827586206,-1.22215389191863,1574.14695124774,42.52544933085052,14.0655418559377,High income
Australia,AUS,36.4788276060473,24.0919767539482,129.317349651589,3.03883928325354,1.37340773365975,25.1586416457084,8.52,3.16656665428797,96.13140106,114528.043332503,98.8664833716782,1.85783,1.56982320729507,44295.1916570222,48.108216784871,108.421989440918,High income
Austria,AUT,30.12779672163,23.5479112127244,81.7652651021229,2.55351579610657,-0.659089573171372,18.4525766859019,6.33,2.93791574279375,91.92573373,129651.403205036,22.5848776685147,3.25517,2.785426538579276,47132.0383936251,5.64782238061923,92.6126708984375,High income
Azerbaijan,AZE,21.7534102440295,16.7969003538156,26.3946919312989,0.311206693209432,4.07140205008956,2.91095088102775,4.54,2.21217188919901,90.80000181,46821.2246296206,2.20049866626562,0.20778,16.3088883325338,541.026362293599,0.009621092791502,41.3413783372226,Upper middle income
"Bahamas, The",BHS,25.2679530406222,25.7497094638977,51.9421929315119,1.51932088638775,3.37866553336166,0.0,3.01,0.409162489083286,92.47270203,65603.5991515248,88.88169552269352,1.6938194827586206,3.95018544385138,6354.61756416295,42.52544933085052,70.22741877743557,High income
Bahrain,BHR,16.9915789748788,28.9384002214251,80.29858548433496,5.73694505846498,2.60379670648454,0.387343644517371,3.91,0.919635459817651,100.0,103794.323618736,43.3193697641238,0.19327,2.785426538579276,7064.39978094884,1.70177143167451,58.3677241853667,High income
Bangladesh,BGD,8.08931134401926,30.7004900245244,35.8111715787963,0.283870773350074,4.22325911250161,0.539452073551698,4.164651162790698,10.4657482763412,53.42171316,20762.8156602916,19.537401350526,0.28836375,2.77841137840799,527.061270034326,2.84024396397186,23.7295608009814,Lower middle income
Barbados,BRB,37.4843261853654,22.253515787122474,59.7307730097207,4.04185101459713,2.4822621396186,19.9263557583818,3.88,1.44643664306159,70.36470032,43410.0423192929,51.4223097622548,1.6938194827586206,9.41853521201908,1171.81830089887,0.0036990021101125,50.801079116886,High income
Belarus,BLR,36.2627055164488,23.8001790850118,29.1729868961267,2.28598440253164,4.00984852465452,6.01576846359853,3.61,5.78531910427998,94.26182128,56813.3564432712,7.91343124955594,0.5872,1.12514415541048,12729.5218058239,0.0212475034673389,70.1107509145358,Upper middle income
Belgium,BEL,44.2321563183446,24.2476765830721,68.0983723586982,-6.1601989579997,1.07045413019414,20.3921453422236,3.24,3.14349136500041,95.77579144,146630.39384677,59.1725980275377,3.27235,2.785426538579276,36731.8766702,42.52544933085052,82.1475601196289,High income
