Country Name,Country Code,broadband_subscriptions,capital_formation,credit_to_private_sector,fdi_inflows,gdp_growth,high_tech_exports,ict_imports,inflation_rate,internet_usage_rate,labor_productivity,market_capitalisation,rd_expenditure,real_interest_rate,secure_servers_density,stock_market_liquidity,tertiary_enrollment,Income Group
Afghanistan,AFG,0.009053935497821686,0.2924164809502192,0.0,0.5116122654246379,0.3698339848564256,0.0,0.34616550962567494,0.3205488253267093,0.025423728505330145,0.17464722996995719,0.3646282719600771,0.24297337597171506,0.4133193239197046,0.22610421251394058,0.307964508763167,0.13969263028741497,Low income
Albania,ALB,0.6667597338622152,0.505812169819511,0.3899631003679854,0.5217567837039727,0.3954590873160431,0.19367813833324177,0.0,0.5739265876284229,0.7449860150257672,0.4449614845336635,0.4849567593423442,0.22276453035894103,0.3156271361218608,0.49690220321021067,23.542281764170973,0.6650522617552437,Upper middle income
Algeria,DZA,0.48856451334560835,0.7676540109890526,0.26381064089911255,0.5120254671909985,0.3904494353265779,0.13978012292735115,0.5392889034131837,0.5884072932513256,0.6098459799286199,0.517835712900708,0.0,0.40742114746412744,0.3206857998448791,0.3061337960117276,23.542281764170973,0.5025234071621506,Upper middle income
American Samoa,ASM,0.7640465208588416,0.45596221891706323,0.6208800091569063,0.5019432541525238,0.36225039856017155,0.6486662878535455,0.6329808801230575,0.57536003335742,0.8184951934639002,0.6976239361733456,0.5823509244182682,0.7828922537987804,0.3033460510806159,0.4158920310051909,42.52544933085052,0.5931519042553973,High income
Andorra,AND,0.9360024337800545,0.45596221891706323,0.6208800091569063,0.5223511949545657,0.38570778322138133,0.6784395005640667,0.5818868719725123,0.57536003335742,0.8946320788496277,0.6976239361733456,0.5823509244182682,0.18199457906681632,0.3033460510806159,0.6792111973371633,42.52544933085052,0.5792480579035415,High income
Angola,AGO,0.037782116379569075,0.1823720156040376,0.10299514886633937,0.5101442620217436,0.40094552793940275,0.623598220269624,0.45089986276070915,0.6865623063699586,0.17465942861243527,0.31573351479967726,0.42104216386008814,0.035790197506079646,0.2558103366879112,0.2385608664770929,7.1222559820276485,0.12768553790692777,Lower middle income
Antigua and Barbuda,ATG,0.4347607351940055,0.45596221891706323,0.41933533986484794,0.5311596579512398,0.38981867761155226,0.0,0.46943965549444816,0.6022336623118862,0.5404440883949173,0.6976239361733456,0.5823509244182682,0.7828922537987804,0.28156758954990035,0.4636829199608011,42.52544933085052,0.5931519042553973,High income
Argentina,ARG,0.6820494057368316,0.3076117497892662,0.2201600444539525,0.514023053463188,0.31972392935740146,0.3338956065583278,0.6474761378395731,0.9670235996178158,0.8100571643511053,0.5104372730289873,0.25849093375255366,0.49259297210999453,0.10918602319557341,0.5924256505994113,0.178401593424374,0.7750681571413991,Upper middle income
Armenia,ARM,0.6044709511533967,0.43475670503279207,0.555461815388817,0.5120956900385248,0.422482768477932,0.700225987454772,0.6750478768457748,0.5522850659337492,0.6709813610867156,0.45434792480048725,0.3600512674111064,0.2972182722886647,0.4060319438497967,0.5071571666917174,0.008167896386994,0.49233717966923296,Upper middle income
Aruba,ABW,0.5613387259585348,0.45596221891706323,0.5198155764878984,0.5149615243723044,0.4358484086506234,0.4404667575911613,0.5073948263457891,0.5898870503451419,0.9460703041581421,0.6976239361733456,0.5823509244182682,0.7828922537987804,0.2713415941367463,0.49987564226817166,42.52544933085052,0.1792544240734228,High income
