Country Name,Country Code,Income Group,Startup_Viability_Index
Liechtenstein,LIE,High income,0.5871134869317314
Lithuania,LTU,High income,0.5683867065963506
Luxembourg,LUX,High income,0.5895757081259463
"Macao SAR, China",MAC,High income,0.5697263650895653
Madagascar,MDG,Low income,0.30303589316230356
Malawi,MWI,Low income,0.2744546450792188
Malaysia,MYS,Upper middle income,0.6037912970405942
Maldives,MDV,Upper middle income,0.4812570442743487
Mali,MLI,Low income,0.30870965190566835
Malta,MLT,High income,0.620472027037232
Marshall Islands,MHL,Upper middle income,0.4456883122088069
Mauritania,MRT,Lower middle income,0.33345501181510473
Mauritius,MUS,Upper middle income,0.47738236391755107
Mexico,MEX,Upper middle income,0.4950034550792667
"Micronesia, Fed. Sts.",FSM,Lower middle income,0.3833345233515322
Moldova,MDA,Upper middle income,0.46249684201961977
Monaco,MCO,High income,0.6342509993110382
Mongolia,MNG,Upper middle income,0.4986638336135717
Montenegro,MNE,Upper middle income,0.5176128834188678
Morocco,MAR,Lower middle income,0.47297057849933505
Mozambique,MOZ,Low income,0.2895283220933125
Myanmar,MMR,Lower middle income,0.32030880041828
Namibia,NAM,Lower middle income,0.3969029210997414
Nauru,NRU,High income,0.55504813783919
Nepal,NPL,Lower middle income,0.40332727289455395
Netherlands,NLD,High income,0.6445036740609653
New Caledonia,NCL,High income,0.5640734938672588
New Zealand,NZL,High income,0.6026006685299969
Nicaragua,NIC,Lower middle income,0.36582007733267563
Niger,NER,Low income,0.2799802152203471
Nigeria,NGA,Lower middle income,0.32845539939514273
North Macedonia,MKD,Upper middle income,0.5116604646576342
Northern Mariana Islands,MNP,High income,0.6013860894117188
Norway,NOR,High income,0.6528708714526494
Oman,OMN,High income,0.48111405309038985
Pakistan,PAK,Lower middle income,0.31262953911933455
Palau,PLW,High income,0.5839582112615098
Panama,PAN,High income,0.4811084705682631
Papua New Guinea,PNG,Lower middle income,0.30767593076737326
Paraguay,PRY,Upper middle income,0.4798735949312751
Peru,PER,Upper middle income,0.45905847209619466
Philippines,PHL,Lower middle income,0.48550653956914946
Poland,POL,High income,0.5460704378211735
Portugal,PRT,High income,0.5703039537451632
Puerto Rico (US),PRI,High income,0.5686768177963671
Qatar,QAT,High income,0.5362252795802371
Romania,ROU,High income,0.5243937137361289
Russian Federation,RUS,High income,0.563982751331916
Rwanda,RWA,Low income,0.36524146221687737
Samoa,WSM,Upper middle income,0.46823196608221695
San Marino,SMR,High income,0.5966688583114279
Sao Tome and Principe,STP,Lower middle income,0.38455232961102187
Saudi Arabia,SAU,High income,0.566290983791899
Senegal,SEN,Lower middle income,0.38479340876967466
Serbia,SRB,Upper middle income,0.5353539060578607
Seychelles,SYC,High income,0.45156879552263307
Sierra Leone,SLE,Low income,0.2672450057040341
Singapore,SGP,High income,0.6892023858916034
Sint Maarten (Dutch part),SXM,High income,0.5577340269773604
Slovak Republic,SVK,High income,0.5722494806277676
Slovenia,SVN,High income,0.5488861363701386
Solomon Islands,SLB,Lower middle income,0.3163490679954152
"Somalia, Fed. Rep.",SOM,Low income,0.29812135556260116
South Africa,ZAF,Upper middle income,0.4972752954535532
South Sudan,SSD,Low income,0.27139786066852944
Spain,ESP,High income,0.5884995531321854
Sri Lanka,LKA,Lower middle income,0.37339573848660784
St. Kitts and Nevis,KNA,High income,0.5900202183159868
St. Lucia,LCA,Upper middle income,0.4529845126387589
St. Martin (French part),MAF,High income,0.5928542727780431
St. Vincent and the Grenadines,VCT,Upper middle income,0.4681994431346428
Sudan,SDN,Low income,0.24392148283804233
Suriname,SUR,Upper middle income,0.44137553331240753
Sweden,SWE,High income,0.6498060804272104
Switzerland,CHE,High income,0.6725831842081993
Syrian Arab Republic,SYR,Low income,0.3152359997336162
Tajikistan,TJK,Lower middle income,0.37662334289188637
Tanzania,TZA,Lower middle income,0.32297552350462516
Thailand,THA,Upper middle income,0.5746616312490971
Timor-Leste,TLS,Lower middle income,0.34594832325429514
Togo,TGO,Low income,0.3101833664341854
Tonga,TON,Upper middle income,0.46456150960717946
Trinidad and Tobago,TTO,High income,0.4314161091632669
Tunisia,TUN,Lower middle income,0.4624902100156371
Turkiye,TUR,Upper middle income,0.5639861537923361
Turkmenistan,TKM,Upper middle income,0.399136662298038
Turks and Caicos Islands,TCA,High income,0.5709617696219207
Tuvalu,TUV,Upper middle income,0.42467765547540304
Uganda,UGA,Low income,0.30915582822178655
Ukraine,UKR,Upper middle income,0.4566236865198178
United Arab Emirates,ARE,High income,0.6084454647735805
United Kingdom,GBR,High income,0.6367335147023702
United States,USA,High income,0.6855402934271492
Uruguay,URY,High income,0.5341982409732762
Uzbekistan,UZB,Lower middle income,0.4775647278956815
Vanuatu,VUT,Lower middle income,0.4243495670383177
"Venezuela, RB",VEN,Middle income,0.4126072134823541
Viet Nam,VNM,Lower middle income,0.571754221267619
Virgin Islands (U.S.),VIR,High income,0.545634431920258
West Bank and Gaza,PSE,Lower middle income,0.4244184636731261
"Yemen, Rep.",YEM,Low income,0.2711601322288636
Zambia,ZMB,Lower middle income,0.3154906143788696
Zimbabwe,ZWE,Lower middle income,0.2858082267544717
