Country,SVI,GII,GEI
albania,0.4430103045323452,24.537929796008,0.2420724708597888
algeria,0.4133148916678412,16.1622593758194,0.24699760436366375
angola,0.3068317936027699,10.2162093483849,0.14406687854941658
argentina,0.4919445653053299,26.4246461433415,0.24018891931980108
armenia,0.5075513479418519,29.0187716666494,0.22830880554711097
australia,0.6487384815406279,48.0960889992609,0.7545369378828498
austria,0.6043397687343827,50.27656791308,0.660211318612205
azerbaijan,0.42730858520743,21.2957909391222,0.3046215575110581
bahrain,0.5089265737392685,27.6425638971034,0.4507123717417321
bangladesh,0.3893472549895608,19.10711782083,0.1183646921312038
barbados,0.5301625218913191,26.054190824654,0.3359999305834696
belgium,0.6162621446764507,47.7332447283681,0.6370358420249085
benin,0.3654518297218392,15.4416934450452,0.13298635524707683
bosnia and herzegovina,0.483586535098061,25.4678505303375,0.20706820322714412
botswana,0.3885704245832075,23.0828006086502,0.3488153781126777
brazil,0.5590546854331364,32.7401426134232,0.20333541113930864
brunei darussalam,0.5025460406533027,22.7695131522168,0.3429989326241332
bulgaria,0.5201956752644439,38.4892066497048,0.277892760140676
burkina faso,0.2906786502962332,12.7555015644874,0.1316504912829484
burundi,0.2723330971463369,13.2053427019115,0.11826151284824996
cambodia,0.4235893518750623,19.886365390103,0.17647281334992546
cameroon,0.3256059714047427,14.4239353784668,0.15446891993043566
canada,0.6193191626974377,52.9052690149423,0.7924525892978029
chile,0.5678130755940338,32.6249418382194,0.5851793664212681
china,0.6594864460142231,56.3227300224464,0.4114426979537222
colombia,0.4685643913773071,29.1821414523479,0.3816354250095139
costa rica,0.485622019129642,28.33390095629,0.33270020788902377
croatia,0.555348795866267,36.3368538066526,0.34024835643377743
cyprus,0.5643398008037956,45.0687146520921,0.4796121892079632
denmark,0.6610117658818975,57.1140190617839,0.7430971971838328
dominican republic,0.4814267537191815,20.8215483843826,0.2425074351459543
ecuador,0.4759699563662707,19.3268161742894,0.20488991729018197
el salvador,0.4249944805498797,20.6123235387354,0.16746509015598982
estonia,0.5972140505901302,52.3079348959785,0.547669680217023
ethiopia,0.3458285282861409,12.3254045996613,0.18331569503122683
finland,0.6264518701953236,59.436930521486,0.679027515956151
france,0.623885757111771,55.4133232928537,0.6850814673769696
georgia,0.521105277129404,30.3858225544874,0.25762293555883087
germany,0.617840134425133,58.0828366917044,0.6593476453946171
ghana,0.3168823084801982,20.0347365544997,0.21177096038408558
greece,0.577146481805995,36.1527552685101,0.3711563165490407
guatemala,0.3836703728224351,14.5602051202637,0.1848296775765048
honduras,0.3973498437024636,16.7427094604863,0.18681102347715403
hungary,0.56494153877723,39.5715653305609,0.36383819225338165
iceland,0.6512462252936478,48.543765479737,0.7415055898327694
india,0.4841455533709238,38.3088312266692,0.2838340606202372
indonesia,0.4665825298319298,30.619177515779,0.20991217813627103
ireland,0.6076078960773721,49.9608312224456,0.7371728244884838
israel,0.6027881776238737,52.7268736866671,0.6544072774571856
italy,0.5785525390724169,45.3255605228568,0.4141092494089787
jamaica,0.4559099474886064,25.671688029187,0.22205074122403615
japan,0.6436567119800558,54.1235042857514,0.51518128153468
jordan,0.4702878337350106,27.4524305911354,0.3653561537746619
kazakhstan,0.5233971330920306,25.6729509025617,0.2969445564912081
kenya,0.3622153835400469,20.9867958921518,0.18389962835368595
kuwait,0.4736836130266652,28.0921442831335,0.42813554801396914
latvia,0.5594255954516293,36.3534671628185,0.4047617087620084
lebanon,0.444021884362175,21.537104780639,0.31514634000969705
lithuania,0.5683867065963506,40.0573028213352,0.5111591481269687
luxembourg,0.5895757081259463,49.0905657395531,0.5824198991153907
madagascar,0.3030358931623035,17.9348650425419,0.1401232018949729
malaysia,0.6037912970405942,40.4817524886958,0.3273095921989641
mali,0.3087096519056683,11.7946250697673,0.15859362221654016
mauritania,0.3334550118151047,13.2135588211419,0.10889569293712803
mexico,0.4950034550792667,30.4471621133937,0.26395495738030095
montenegro,0.5176128834188678,28.8745667888944,0.3119054235983444
morocco,0.472970578499335,28.7945256992699,0.2918328188896692
mozambique,0.2895283220933125,13.1091846783182,0.14013124667813623
myanmar,0.32030880041828,13.7667674207557,0.13634950267992807
namibia,0.3969029210997414,19.9601714520038,0.31076455270236847
nicaragua,0.3658200773326756,13.9876946868468,0.1466982561779922
nigeria,0.3284553993951427,17.1060235613659,0.19748348079845382
norway,0.6528708714526494,49.0601332168885,0.5660912038426706
oman,0.4811140530903898,27.1306377134998,0.46900042136666115
pakistan,0.3126295391193345,22.0061013457062,0.15641164476311242
panama,0.4811084705682631,24.7427453625239,0.2774845306004863
paraguay,0.4798735949312751,21.8522995915263,0.18715991995057427
peru,0.4590584720961946,26.6990180179644,0.2842764293213145
philippines,0.4855065395691494,31.1319791929317,0.2408875816649241
poland,0.5460704378211735,37.0044192560621,0.5041595684504352
portugal,0.5703039537451632,43.6557191326842,0.4878985436248869
qatar,0.5362252795802371,32.8862629249853,0.5501127585190682
romania,0.5243937137361289,33.3987268747427,0.3818205226383805
rwanda,0.3652414622168773,19.6889830183592,0.21460020772929028
saudi arabia,0.566290983791899,33.9342283166781,0.4024740390051243
senegal,0.3847934087696746,21.9741597208381,0.19206300579002814
serbia,0.5353539060578607,32.2543584374392,0.26447284753542283
singapore,0.6892023858916034,61.1810237612485,0.527035824263927
slovenia,0.5488861363701386,40.1677545285405,0.5382022317196594
